No.,조건식이름,편입시간,테마,종목코드,종목이름,편입가,편입등락률,거래량,체결강도,거래회전율,최고가,등락률,최고가시간,최고가이전최저가,등락률,최고가이전최저가시간,최저가,등락률,최저가시간,종가,종가시간,등락률,손익률,손익금,검증,time10,time11,time12,time13,time14,
c3,전문가-FLOG-스윙추매,09:51:35,통신장비,073490,이노와이어리스,33450,0.74%,77686,64.26,1.15,33900,0.59%,10:05:33,33400,-4.15%,09:52:11,32300,-0.89%,14:48:46,32450,15:55:25,-3.71%,-0.15%,-1450,,33300,32950,32900,32750,32600,
c5,전문가-FLOG-스윙추매,09:54:40,,192820,코스맥스,68400,2.70%,43327,39.77,0.38,69500,-1.14%,10:54:00,67700,-3.98%,10:20:03,67500,-3.7%,15:01:11,67800,15:57:37,-3.56%,-1.02%,-9800,,69100,68600,68100,68000,67500,
c2,전문가-FLOG-스윙추매,10:02:03,,015760,한국전력,20600,1.90%,376445,68.46,0.06,20950,-0.24%,10:28:54,20600,-1.9%,10:04:58,20600,-1.9%,10:04:58,20650,15:59:58,-1.67%,0.00%,0,,20750,20750,20750,20800,20800,
c4,전문가-FLOG-스윙추매,10:09:29,,178320,서진시스템,17450,0.29%,534369,69.61,1.42,17600,0.57%,13:36:42,17350,-2.29%,10:10:19,17100,-0.86%,14:19:36,17350,15:59:18,-0.86%,-0.57%,-5700,,17550,17550,17550,17250,17200,
c6,전문가-FLOG-스윙추매,11:16:59,,218410,RFHIC,24950,0.20%,165967,91.21,0.62,25000,0%,11:33:07,24750,-2%,11:22:25,24500,-1%,14:36:24,24900,15:55:43,-0.4%,-0.80%,-8000,,0,24800,24750,24650,24800,
c1,전문가-FLOG-스윙추매,14:30:17,,230240,에치에프알,35800,0.14%,559196,106.26,4.15,36050,0.56%,15:18:40,35550,-0.84%,14:53:36,35550,-0.84%,14:53:36,36000,15:55:46,0.42%,-0.70%,-6750,,0,0,0,0,35850,
