No.,조건식이름,편입시간,테마,종목코드,종목이름,편입가,편입등락률,거래량,체결강도,거래회전율,최고가,등락률,최고가시간,최고가이전최저가,등락률,최고가이전최저가시간,최저가,등락률,최저가시간,종가,종가시간,등락률,손익률,손익금,검증,time10,time11,time12,time13,time14,
c1,전문가-FLOG-스윙추매,09:51:02,의복_아웃도어 의복_OEM,007980,태평양물산,2105,1.41%,2692993,69.27,5.59,2190,2.58%,15:19:50,2070,-3.04%,10:17:08,2070,-3.04%,10:17:08,2160,15:59:45,1.17%,4.04%,40375,,2085,2085,2100,2115,2150,
c2,전문가-FLOG-스윙추매,09:52:00,중국_내수소비 확대,014470,부방,2425,1.02%,1555955,75.36,2.59,2550,4.08%,12:44:19,2400,-3.27%,10:15:41,2370,-2.04%,15:19:51,2400,15:47:04,-2.04%,5.15%,51500,,2485,2475,2470,2410,2400,
c3,전문가-FLOG-스윙추매,09:52:12,미디어_방송광고,033830,티비씨,1295,2.26%,748465,47.19,0.75,1325,0%,12:54:20,1280,-7.17%,10:10:12,1230,-3.4%,15:06:25,1250,15:52:45,-5.66%,2.32%,23160,,1295,1305,1315,1270,1240,
c4,전문가-FLOG-스윙추매,11:07:02,운송_해운,004360,세방,31500,0.16%,271673,76.07,1.41,31600,0.16%,11:13:08,31400,-7.61%,11:10:37,29150,-0.48%,14:58:13,29500,15:59:43,-6.5%,0.32%,3100,,0,30550,30300,29850,29300,
