No.,조건식이름,편입시간,테마,종목코드,종목이름,편입가,편입등락률,거래량,체결강도,거래회전율,최고가,등락률,최고가시간,최고가이전최저가,등락률,최고가이전최저가시간,최저가,등락률,최저가시간,종가,종가시간,등락률,손익률,손익금,검증,time10,time11,time12,time13,time14,
c7,20일신고가매수,09:26:14,,204610,티쓰리,1870,10.00%,3654485,186.09,5.57,1960,15.29%,12:26:20,1760,2.94%,09:40:01,1750,3.53%,15:58:39,1750,15:58:39,2.94%,4.81%,48060,,1845,1885,1885,1825,1780,
c4,전문가-FLOG-스윙추매,09:58:08,,335890,비올,3210,0.63%,1558725,59.67,2.68,3280,2.82%,11:40:04,3125,-2.04%,10:36:39,3125,-2.04%,10:36:39,3225,15:59:46,1.1%,2.18%,21770,,3165,3195,3160,3195,3200,
c6,시초가매매,10:23:58,,021040,대호특수강,5940,14.67%,152835,200.70,2.03,6490,25.29%,10:44:46,5810,1.16%,10:29:53,5240,12.16%,15:02:54,5320,15:54:47,2.7%,9.26%,92400,,6300,6280,5880,5500,5390,
c2,전문가-눌림목스윙,11:37:05,,114450,KPX생명과학,6120,17.02%,11020514,96.73,73.47,6750,29.06%,14:42:33,5880,10.13%,12:19:13,5760,12.43%,15:17:59,5930,15:59:55,13.38%,10.29%,102690,,0,6020,6070,6320,6610,
c3,전문가-RED-스윙매매,12:14:51,,039860,나노엔텍,6180,8.61%,5015811,96.40,18.71,6610,16.17%,12:58:29,6110,2.99%,12:33:58,5860,7.38%,15:00:55,5950,15:59:38,4.57%,6.96%,69230,,0,0,6600,6120,5990,
c5,시초가매매,14:25:58,,002620,제일파마홀딩스,14700,8.49%,531687,106.53,3.33,17600,29.89%,15:13:20,14500,7.01%,14:27:23,14500,7.01%,14:27:23,15400,15:56:24,13.65%,19.73%,197200,,0,0,0,0,16450,
c1,전문가-눌림목스윙,15:06:25,,053950,경남제약,2700,13.68%,21828532,94.23,70.76,2745,15.58%,15:10:54,2680,10.32%,15:08:26,2620,12.84%,15:18:32,2680,15:59:56,12.84%,1.67%,16650,,0,0,0,0,0,
